id, prefectures_2000, area_codes_2000, areas_in_2000, prefectures_2020,area_codes_2020,areas,population_total, population_male, population_female,population_in_2015,population_change,population_change_percentage,sex_ratio, area_km2, population_density,num_of_households,num_of_private_households, num_of_institutional_households,num_of_households_2015,num_of_households_change,num_of_households_change_percent,household_members,household_members_private,household_members_institutional 
0,00_Japan,0,2000.0,00_Japan,0,0001_Japan,126146099,61349581,64796518,127094745,-948646,-0.75,94.68,377976.41,338.2,55830154,55704949,125205,53448685,2381469,4.46,126146099,123162995,2983104
1,01_Hokkaido,1000,2000.0,01_Hokkaido,1000,0002_Hokkaido,5224614,2465088,2759526,5381733,-157119,-2.92,89.33,83424.44,66.6,2476846,2469063,7783,2444810,32036,1.31,5224614,5032739,191875
2,01_Hokkaido,1100,2000.0,01_Hokkaido,1100,0003_Sapporo-shi,1973395,918682,1054713,1952356,21039,1.08,87.10,1121.26,1760.0,969161,967372,1789,921837,47324,5.13,1973395,1916478,56917
3,01_Hokkaido,1101,2000.0,01_Hokkaido,1101,0004_Sapporo-shi Chuo-ku,248680,112853,135827,237627,11053,4.65,83.09,46.42,5357.2,141429,141223,206,132006,9423,7.14,248680,240498,8182
4,01_Hokkaido,1102,2000.0,01_Hokkaido,1102,0005_Sapporo-shi Kita-ku,289323,136596,152727,285321,4002,1.40,89.44,63.57,4551.3,139675,139449,226,133662,6013,4.50,289323,282668,6655
5,01_Hokkaido,1103,2000.0,01_Hokkaido,1103,0006_Sapporo-shi Higashi-ku,265379,126023,139356,261912,3467,1.32,90.43,56.97,4658.2,131188,130904,284,124425,6763,5.44,265379,257766,7613
6,01_Hokkaido,1104,2000.0,01_Hokkaido,1104,0007_Sapporo-shi Shiroishi-ku,211835,100062,111773,209584,2251,1.07,89.52,34.47,6145.5,108233,108077,156,104608,3625,3.47,211835,206212,5623
7,01_Hokkaido,1105,2000.0,01_Hokkaido,1105,0008_Sapporo-shi Toyohira-ku,225298,104154,121144,218652,6646,3.04,85.98,46.23,4873.4,118650,118472,178,110171,8479,7.70,225298,220096,5202
8,01_Hokkaido,1106,2000.0,01_Hokkaido,1106,0009_Sapporo-shi Minami-ku,135777,62347,73430,141190,-5413,-3.83,84.91,657.48,206.5,62134,61919,215,61291,843,1.38,135777,129809,5968
9,01_Hokkaido,1107,2000.0,01_Hokkaido,1107,0010_Sapporo-shi Nishi-ku,217040,100027,117013,213578,3462,1.62,85.48,75.1,2890.0,103849,103655,194,97750,6099,6.24,217040,211604,5436
10,01_Hokkaido,1108,2000.0,01_Hokkaido,1108,0011_Sapporo-shi Atsubetsu-ku,125083,56755,68328,127767,-2684,-2.10,83.06,24.38,5130.6,57289,57190,99,55585,1704,3.07,125083,121782,3301
11,01_Hokkaido,1109,2000.0,01_Hokkaido,1109,0012_Sapporo-shi Teine-ku,142625,66913,75712,140999,1626,1.15,88.38,56.77,2512.3,61080,60959,121,57333,3747,6.54,142625,137776,4849
12,01_Hokkaido,1110,2000.0,01_Hokkaido,1110,0013_Sapporo-shi Kiyota-ku,112355,52952,59403,115726,-3371,-2.91,89.14,59.87,1876.6,45634,45524,110,45006,628,1.40,112355,108267,4088
13,01_Hokkaido,1202,,01_Hokkaido,1202,0014_Hakodate-shi,251084,113965,137119,265979,-14895,-5.60,83.11,677.87,370.4,121793,121455,338,123950,-2157,-1.74,251084,240342,10742
14,01_Hokkaido,1202,2000.0,01_Hokkaido,1202,0015_(Municipalities as of 2000) Hakodate-shi,241024,109284,131740,254157,-13133,-5.17,82.95,346.9,694.8,117466,117141,325,119177,-1711,-1.44,241024,230617,10407
15,01_Hokkaido,1339,2000.0,01_Hokkaido,1202,0016_(Municipalities as of 2000) Toi-cho,2291,1026,1265,2677,-386,-14.42,81.11,53.04,43.2,966,961,5,1067,-101,-9.47,2291,2168,123
16,01_Hokkaido,1340,2000.0,01_Hokkaido,1202,0017_(Municipalities as of 2000) Esan-cho,2486,1164,1322,2993,-507,-16.94,88.05,94.27,26.4,1148,1145,3,1287,-139,-10.80,2486,2384,102
17,01_Hokkaido,1341,2000.0,01_Hokkaido,1202,0018_(Municipalities as of 2000) Todohokke-mura,745,338,407,910,-165,-18.13,83.05,24.92,29.9,350,349,1,396,-46,-11.62,745,728,17
18,01_Hokkaido,1342,2000.0,01_Hokkaido,1202,0019_(Municipalities as of 2000) Minamikayabe-cho,4538,2153,2385,5242,-704,-13.43,90.27,158.35,28.7,1863,1859,4,2023,-160,-7.91,4538,4445,93
19,01_Hokkaido,1203,2000.0,01_Hokkaido,1203,0020_Otaru-shi,111299,50136,61163,121924,-10625,-8.71,81.97,243.83,456.5,52817,52615,202,55466,-2649,-4.78,111299,106082,5217
20,01_Hokkaido,1204,2000.0,01_Hokkaido,1204,0021_Asahikawa-shi,329306,152108,177198,339605,-10299,-3.03,85.84,747.66,440.4,156195,155625,570,155747,448,0.29,329306,315003,14303
21,01_Hokkaido,1205,2000.0,01_Hokkaido,1205,0022_Muroran-shi,82383,40390,41993,88564,-6181,-6.98,96.18,81.01,1016.9,41766,41660,106,43616,-1850,-4.24,82383,79836,2547
22,01_Hokkaido,1206,,01_Hokkaido,1206,0023_Kushiro-shi,165077,77506,87571,174742,-9665,-5.53,88.51,1363.29,121.1,80349,80095,254,82078,-1729,-2.11,165077,159067,6010
23,01_Hokkaido,1206,2000.0,01_Hokkaido,1206,0024_(Municipalities as of 2000) Kushiro-shi,159011,74548,84463,167925,-8914,-5.31,88.26,221.61,717.5,77306,77070,236,78874,-1568,-1.99,159011,153357,5654
24,01_Hokkaido,1666,2000.0,01_Hokkaido,1206,0025_(Municipalities as of 2000) Akan-cho,4390,2127,2263,4882,-492,-10.08,93.99,739.37,5.9,2259,2254,5,2350,-91,-3.87,4390,4236,154
25,01_Hokkaido,1669,2000.0,01_Hokkaido,1206,0026_(Municipalities as of 2000) Ombetsu-cho,1676,831,845,1935,-259,-13.39,98.34,401.4,4.2,784,771,13,854,-70,-8.20,1676,1474,202
26,01_Hokkaido,1207,2000.0,01_Hokkaido,1207,0027_Obihiro-shi,166536,79623,86913,169327,-2791,-1.65,91.61,619.34,268.9,80175,79933,242,77707,2468,3.18,166536,160130,6406
27,01_Hokkaido,1208,,01_Hokkaido,1208,0028_Kitami-shi,115480,54729,60751,121226,-5746,-4.74,90.09,1427.41,80.9,55188,55024,164,56202,-1014,-1.80,115480,111882,3598
28,01_Hokkaido,1208,2000.0,01_Hokkaido,1208,0029_(Municipalities as of 2000) Kitami-shi,102000,48392,53608,105979,-3979,-3.75,90.27,421.08,242.2,49407,49271,136,49965,-558,-1.12,102000,99135,2865
29,01_Hokkaido,1548,2000.0,01_Hokkaido,1208,0030_(Municipalities as of 2000) Tanno-cho,4384,2126,2258,4886,-502,-10.27,94.15,163.5,26.8,1737,1733,4,1792,-55,-3.07,4384,4171,213
30,01_Hokkaido,1551,2000.0,01_Hokkaido,1208,0031_(Municipalities as of 2000) Rubeshibe-cho,5570,2565,3005,6381,-811,-12.71,85.36,564.69,9.9,2568,2548,20,2835,-267,-9.42,5570,5183,387
31,01_Hokkaido,1553,2000.0,01_Hokkaido,1208,0032_(Municipalities as of 2000) Tokoro-cho,3526,1646,1880,3980,-454,-11.41,87.55,278.29,12.7,1476,1472,4,1610,-134,-8.32,3526,3393,133
32,01_Hokkaido,1209,2000.0,01_Hokkaido,1209,0033_Yubari-shi,7334,3381,3953,8843,-1509,-17.06,85.53,763.07,9.6,3807,3790,17,4539,-732,-16.13,7334,6902,432
33,01_Hokkaido,1210,,01_Hokkaido,1210,0034_Iwamizawa-shi,79306,37105,42201,84499,-5193,-6.15,87.92,481.02,164.9,35584,35476,108,36155,-571,-1.58,79306,76126,3180
34,01_Hokkaido,1210,2000.0,01_Hokkaido,1210,0035_(Municipalities as of 2000) Iwamizawa-shi,72184,33758,38426,76348,-4164,-5.45,87.85,204.74,352.6,32799,32705,94,33105,-306,-0.92,72184,69528,2656
35,01_Hokkaido,1421,2000.0,01_Hokkaido,1210,0036_(Municipalities as of 2000) Kita-mura,2320,1095,1225,2707,-387,-14.30,89.39,96.49,24.0,845,843,2,927,-82,-8.85,2320,2222,98
36,01_Hokkaido,1422,2000.0,01_Hokkaido,1210,0037_(Municipalities as of 2000) Kurisawa-cho,4802,2252,2550,5444,-642,-11.79,88.31,179.87,26.7,1940,1928,12,2123,-183,-8.62,4802,4376,426
37,01_Hokkaido,1211,2000.0,01_Hokkaido,1211,0038_Abashiri-shi,35759,18060,17699,39077,-3318,-8.49,102.04,471.0,75.9,17253,17193,60,18035,-782,-4.34,35759,34107,1652
38,01_Hokkaido,1212,2000.0,01_Hokkaido,1212,0039_Rumoi-shi,20114,9649,10465,22221,-2107,-9.48,92.20,297.84,67.5,9816,9784,32,10402,-586,-5.63,20114,19120,994
39,01_Hokkaido,1213,2000.0,01_Hokkaido,1213,0040_Tomakomai-shi,170113,83522,86591,172737,-2624,-1.52,96.46,561.57,302.9,80130,79962,168,78298,1832,2.34,170113,164852,5261
40,01_Hokkaido,1214,2000.0,01_Hokkaido,1214,0041_Wakkanai-shi,33563,16651,16912,36380,-2817,-7.74,98.46,761.47,44.1,16060,15944,116,16486,-426,-2.58,33563,32492,1071
41,01_Hokkaido,1215,2000.0,01_Hokkaido,1215,0042_Bibai-shi,20413,9565,10848,23035,-2622,-11.38,88.17,277.69,73.5,9434,9359,75,10173,-739,-7.26,20413,19238,1175
42,01_Hokkaido,1216,2000.0,01_Hokkaido,1216,0043_Ashibetsu-shi,12555,5762,6793,14676,-2121,-14.45,84.82,865.04,14.5,6055,6021,34,6862,-807,-11.76,12555,11914,641
43,01_Hokkaido,1217,2000.0,01_Hokkaido,1217,0044_Ebetsu-shi,121056,57523,63533,120636,420,0.35,90.54,187.38,646.0,53977,53869,108,51983,1994,3.84,121056,117451,3605
44,01_Hokkaido,1218,2000.0,01_Hokkaido,1218,0045_Akabira-shi,9698,4388,5310,11105,-1407,-12.67,82.64,129.88,74.7,4494,4463,31,4980,-486,-9.76,9698,8623,1075
45,01_Hokkaido,1219,2000.0,01_Hokkaido,1219,0046_Mombetsu-shi,21215,9901,11314,23109,-1894,-8.20,87.51,830.67,25.5,11214,11192,22,11127,87,0.78,21215,20546,669
46,01_Hokkaido,1220,,01_Hokkaido,1220,0047_Shibetsu-shi,17858,8416,9442,19914,-2056,-10.32,89.13,1119.22,16.0,8184,8157,27,8650,-466,-5.39,17858,17188,670
47,01_Hokkaido,1220,2000.0,01_Hokkaido,1220,0048_(Municipalities as of 2000) Shibetsu-shi,16734,7913,8821,18582,-1848,-9.95,89.71,597.28,28.0,7612,7589,23,7983,-371,-4.65,16734,16146,588
48,01_Hokkaido,1466,2000.0,01_Hokkaido,1220,0049_(Municipalities as of 2000) Asahi-cho,1124,503,621,1332,-208,-15.62,81.00,522.01,2.2,572,568,4,667,-95,-14.24,1124,1042,82
49,01_Hokkaido,1221,,01_Hokkaido,1221,0050_Nayoro-shi,27282,13322,13960,29048,-1766,-6.08,95.43,535.2,51.0,12810,12725,85,13086,-276,-2.11,27282,25708,1574
50,01_Hokkaido,1221,2000.0,01_Hokkaido,1221,0051_(Municipalities as of 2000) Nayoro-shi,23788,11714,12074,25046,-1258,-5.02,97.02,314.62,75.6,11324,11244,80,11470,-146,-1.27,23788,22355,1433
51,01_Hokkaido,1467,2000.0,01_Hokkaido,1221,0052_(Municipalities as of 2000) Furen-cho,3494,1608,1886,4002,-508,-12.69,85.26,220.61,15.8,1486,1481,5,1616,-130,-8.04,3494,3353,141
52,01_Hokkaido,1222,2000.0,01_Hokkaido,1222,0053_Mikasa-shi,8040,3631,4409,9076,-1036,-11.41,82.35,302.52,26.6,3816,3799,17,4254,-438,-10.30,8040,7465,575
53,01_Hokkaido,1223,2000.0,01_Hokkaido,1223,0054_Nemuro-shi,24636,11762,12874,26917,-2281,-8.47,91.36,506.25,59.9,11153,11133,20,11383,-230,-2.02,24636,23883,753
54,01_Hokkaido,1224,2000.0,01_Hokkaido,1224,0055_Chitose-shi,97950,49790,48160,95648,2302,2.41,103.38,594.5,164.8,43809,43635,174,40638,3171,7.80,97950,92889,5061
