prefectures,Sum of population_total,Sum of  population_male,Sum of  population_female,Sum of population_change,Sum of population_in_2015,Sum of  area_km2,Sum of num_of_households,Sum of num_of_households_2015,Sum of num_of_households_change,pop_percent_change,houses_percent_change
Aichi-ken,19667521,9799174,9868347,154044,19513477,13838.88,8499007,8041961,457046,0.007894236,0.056832656
Akita-ken,2801452,1320758,1480694,-183220,2984672,32534.73,1126906,1136103,-9197,-0.06138698,-0.008095217
Aomori-ken,3495523,1644615,1850908,-194472,3689995,25539.95,1446763,1444931,1832,-0.05270251,0.001267881
Chiba-ken,14863988,7369632,7494356,125994,14737994,12576.56,6547642,6156813,390829,0.008548925,0.063479108
Ehime-ken,3971219,1883550,2087669,-150431,4121650,16909.77,1790705,1762716,27989,-0.036497762,0.015878338
Fukui-ken,2094954,1020683,1074271,-53874,2148828,11328.75,794423,762266,32157,-0.025071341,0.042186061
Fukuoka-ken,13961768,6606096,7355672,103444,13858324,13513.71,6374511,6034870,339641,0.007464395,0.056279754
Fukushima-ken,4515288,2224076,2291212,-204793,4720081,32575.95,1825682,1816114,9568,-0.043387603,0.005268392
Gifu-ken,5422417,2630114,2792303,-142663,5565080,29966.36,2147782,2072118,75664,-0.025635391,0.036515295
Gumma-ken,5506785,2722406,2784379,-93960,5600745,17145.88,2289730,2199718,90012,-0.01677634,0.040919791
Hiroshima-ken,9567651,4635257,4932394,-118701,9686352,26134.26,4270727,4148312,122415,-0.012254459,0.029509593
Hokkaido,13377856,6296851,7081005,-352151,13730007,180516.33,6368974,6266241,102733,-0.025648275,0.016394677
Hyogo-ken,13681549,6506377,7175172,-196224,13877773,23524.03,6035287,5816591,218696,-0.014139444,0.037598655
Ibaraki-ken,7855491,3918564,3936927,-133811,7989302,16507.5,3247948,3083064,164884,-0.016748772,0.053480563
Ishikawa-ken,2725106,1323132,1401974,-57644,2782750,11244.02,1121219,1083595,37624,-0.020714761,0.03472146
Iwate-ken,3297707,1585634,1712073,-188259,3485966,39985.05,1343664,1345801,-2137,-0.05400483,-0.001587902
Japan,126146099,61349581,64796518,-948646,127094745,377976.41,55830154,53448685,2381469,-0.007464085,0.044556176
Kagawa-ken,2676038,1292597,1383441,-70331,2746369,5291.88,1146157,1121344,24813,-0.025608722,0.022127911
Kagoshima-ken,4601296,2166559,2434737,-166699,4767995,25540.51,2107966,2094548,13418,-0.034962075,0.006406155
Kanagawa-ken,25241413,12543999,12697414,347372,24894041,6070.69,11613485,10918383,695102,0.013954022,0.063663456
Kochi-ken,1864376,879534,984842,-93647,1958023,17839.09,852974,860861,-7887,-0.047827324,-0.009161758
Kumamoto-ken,5564736,2630583,2934153,-131176,5695912,19785.16,2330463,2277733,52730,-0.02302985,0.023150211
Kyoto-fu,8551872,4071403,4480469,-94596,8646468,13120.25,4046090,3915776,130314,-0.010940421,0.033279227
Mie-ken,4853006,2369192,2483814,-129644,4982650,16234.76,2040921,1981386,59535,-0.026019086,0.030047149
Miyagi-ken,6318909,3078325,3240584,-80565,6399474,19228.18,2722441,2618310,104131,-0.012589316,0.03977031
Miyazaki-ken,2978498,1405242,1573256,-88518,3067016,19520.25,1315486,1292163,23323,-0.028861278,0.01804958
Nagano-ken,5492189,2681648,2810541,-128638,5620827,34013.25,2238299,2168801,69498,-0.022885956,0.032044434
Nagasaki-ken,3719846,1747592,1972254,-193164,3913010,11953.57,1588775,1599600,-10825,-0.049364556,-0.006767317
Nara-ken,3096456,1456778,1639678,-91223,3187679,8232.11,1280304,1244260,36044,-0.028617373,0.028968222
Niigata-ken,7230380,3506050,3724330,-319594,7549974,37107.4,2866720,2807494,59226,-0.042330477,0.021095682
Oita-ken,3187760,1515335,1672425,-115630,3303390,18177.11,1385375,1375268,10107,-0.035003436,0.007349113
Okayama-ken,6227429,2994718,3232711,-83756,6311185,21439.33,2666901,2562240,104661,-0.013271042,0.040847462
Okinawa-ken,3259982,1607850,1652132,82810,3177172,5013.39,1356307,1234268,122039,0.026064059,0.098875609
Osaka-fu,22080104,10586709,11493395,31361,22048743,4335.8,10473634,9903169,570465,0.001422349,0.057604288
Saga-ken,2205189,1043784,1161405,-57909,2263098,6603.87,850160,821906,28254,-0.025588375,0.034376194
Saitama-ken,19374221,9625065,9749156,273101,19101120,9981.36,8351487,7821966,529521,0.014297643,0.067696663
Shiga-ken,3846513,1895508,1951005,-5327,3851840,10871.73,1547457,1458497,88960,-0.001382975,0.060994298
Shimane-ken,2004441,968451,1035990,-69178,2073619,19913.55,805436,790680,14756,-0.033360998,0.018662417
Shizuoka-ken,11809466,5822626,5986840,-200236,12009702,24787.87,4825734,4645978,179756,-0.016672853,0.03869067
Tochigi-ken,5238117,2613622,2624495,-109362,5347479,17542.62,2163538,2070200,93338,-0.020451132,0.045086465
Tokushima-ken,1677017,799922,877095,-91815,1768832,11477.71,712416,710017,2399,-0.051907134,0.003378792
Tokyo-to,38035852,18672170,19363682,1532556,36503296,5021.93,19767228,18293174,1474054,0.041984044,0.080579455
Tottori-ken,1588055,758934,829121,-55210,1643265,9105.16,631163,622181,8982,-0.033597746,0.014436314
Toyama-ken,2876430,1398163,1478267,-80663,2957093,11277.6,1128161,1089740,38421,-0.027277803,0.035257034
Wakayama-ken,2269918,1070269,1199649,-106058,2375976,12649.68,966622,963915,2707,-0.044637656,0.002808339
Yamagata-ken,2378825,1148976,1229849,-126519,2505344,20809.73,887748,878088,9660,-0.050499652,0.011001175
Yamaguchi-ken,3818483,1809993,2008490,-183284,4001767,17811.44,1707001,1708546,-1545,-0.045800768,-0.000904278
Yamanashi-ken,2254688,1105371,1149317,-67954,2322642,11883.59,944347,922474,21873,-0.029257199,0.023711237
